Country Name,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Syrian Arab Republic,Expenditure on secondary as % of government expenditure on education (%),SE.XPD.SECO.ZS,..,..,..,..,..,35.8540611267,..,36.904460907,..,..,..,..,..,..
Syrian Arab Republic,Expenditure on tertiary as % of government expenditure on education (%),SE.XPD.TERT.ZS,..,19.8567008972,24.8216209412,..,19.8442192078,21.3353900909,24.9443302155,24.2227802277,..,..,..,..,..,..
Syrian Arab Republic,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,17.4274640976,17.5397204429,19.6148047581,18.3906672561,18.6051408378,16.1409853972,..,..,..,..,..,..,..,..
Syrian Arab Republic,Expense (current LCU),GC.XPN.TOTL.CN,160890000000,178122000000,248498000000,277044000000,317213000000,325697000000,375327000000,442180000000,..,..,..,..,..,..
Syrian Arab Republic,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,100,113.2736743913,159.2479362918,187.9548697789,235.6854564048,249.2044579186,332.6119135615,234.2986525074,276.1932490603,215.8416051664,86.3366420666,64.7524815499,..,..
Syrian Arab Republic,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,100,126.3906026347,127.604619481,123.0731508231,137.7282617277,130.4307685704,133.5562380161,115.8022249018,118.3188943412,74.4631766477,29.8455100201,22.6828017843,..,..
Syrian Arab Republic,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,326715000000,352393592007.895,420692814583.651,511180980010.082,469217539082.308,522960306627.693,..,..,..,..,..,..,..,..
Syrian Arab Republic,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.474827091,12.9632860444,23.8570481489,-1.4982039919,20.563752454,1.4120261946,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,11512000000,13168800000,15617016197,19749315151,15681906880,19605790973,..,..,..,..,..
Syrian Arab Republic,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,10143581377.0893,11458522846.1491,11832796673.4935,11655517241.3793,14052328954.1257,14250751519.9123,..,..,..,..,..,..,..,..
Syrian Arab Republic,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,326715000000,369068000000,381123000000,375413000000,452612000000,459003000000,..,..,..,..,..,..,..,..
Syrian Arab Republic,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,326715000000,359278000000,507445000000,608418000000,673543000000,779757483400,..,..,..,..,..,..,..,..
Syrian Arab Republic,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6839334310.23655,7464741325.57656,10048415841.5842,11655517241.3793,13167996089.9316,15613886331.5979,..,..,..,..,..,..,..,..
